appeal,supreme,url
121/2022,38/2023,https://www.haestirettur.is/domar/_domur/?id=aa0b5c16-abdd-40eb-bcc5-ce4f78669723
251/2023,35/2023,https://www.haestirettur.is/domar/_domur/?id=023b5fea-c273-432d-8244-4ff3c0b93611
30/2023,26/2023,https://www.haestirettur.is/domar/_domur/?id=466ad104-111f-46f5-9a4e-d00827ee6746
414/2021,5/2023,https://www.haestirettur.is/domar/_domur/?id=285e4dda-3554-486c-8249-456dc5c0adeb
558/2021,4/2023,https://www.haestirettur.is/domar/_domur/?id=0e0d7ea0-d78e-4354-978b-302b8d2761e5
557/2021,3/2023,https://www.haestirettur.is/domar/_domur/?id=35264f71-4726-40d8-b937-9adcdee598cf
521/2021,2/2023,https://www.haestirettur.is/domar/_domur/?id=484cb7c7-8844-4cfd-90ac-dc72684a5853
268/2023,28/2023,https://www.haestirettur.is/domar/_domur/?id=0d20b4f8-0b8b-4a7d-8fb7-722ca9db6d00
735/2021,8/2023,https://www.haestirettur.is/domar/_domur/?id=907dcb38-5bee-414c-a473-55304273a96a
617/2022,10/2023,https://www.haestirettur.is/domar/_domur/?id=79572c2c-3a0b-499e-8a06-ed5f034cd6c8
60/2022,6/2023,https://www.haestirettur.is/domar/_domur/?id=645b99bd-114a-4e42-847d-43c0b341a276
438/2020,50/2022,https://www.haestirettur.is/domar/_domur/?id=c8105603-112f-4242-a55d-3c14dc54873b
36/2021,45/2022,https://www.haestirettur.is/domar/_domur/?id=70f6d247-6a1a-4d09-acd0-45680856d211
203/2021,47/2022,https://www.haestirettur.is/domar/_domur/?id=fa8ad70d-545d-469b-bc0a-bf4b16e4aa64
434/2021,52/2022,https://www.haestirettur.is/domar/_domur/?id=0826446b-6c98-4f19-bde2-be1b99aa3257
114/2021,44/2022,https://www.haestirettur.is/domar/_domur/?id=8f3ddea9-0a7d-42ec-ab46-1d771d4c5dde
191/2021,49/2022,https://www.haestirettur.is/domar/_domur/?id=652bebed-8a26-48cb-8676-eaf8fb51e30c
247/2021,48/2022,https://www.haestirettur.is/domar/_domur/?id=00b75a35-fc26-4a67-b5c8-cdda342df80a
181/2021,40/2022,https://www.haestirettur.is/domar/_domur/?id=454b304c-4479-464b-b520-df822f7a0d7c
299/2021,46/2022,https://www.haestirettur.is/domar/_domur/?id=8ac30fc7-4224-4a54-9ebd-bb56000fc965
617/2021,37/2022,https://www.haestirettur.is/domar/_domur/?id=6fc3158e-aa3f-445f-b545-781cfc886053
160/2021,36/2022,https://www.haestirettur.is/domar/_domur/?id=a5b9e43e-db86-487e-abdc-9f0783b75761
550/2021,1/2023,https://www.haestirettur.is/domar/_domur/?id=ea76c4a2-5aa9-4d2c-a1fb-71c6032389e8
475/2022,51/2022,https://www.haestirettur.is/domar/_domur/?id=03fb11d2-a4c7-447c-9250-cc04a7bcd2cd
584/2022,58/2022,https://www.haestirettur.is/domar/_domur/?id=d68103e1-5761-4beb-a0c3-8bc0e9642d92
676/2022,59/2022,https://www.haestirettur.is/domar/_domur/?id=deaca233-f2ee-47ba-b2dc-fd9a706ce5ad
686/2020,33/2022,https://www.haestirettur.is/domar/_domur/?id=423d1eea-818c-4293-b2b5-f962186666a4
391/2021,29/2022,https://www.haestirettur.is/domar/_domur/?id=05c97d8a-4650-4504-b41b-460e38ef36ad
330/2021,34/2022,https://www.haestirettur.is/domar/_domur/?id=6c965e57-9692-42bc-8092-389b97fbf7f8
384/2021,55/2022,https://www.haestirettur.is/domar/_domur/?id=b3c849ea-3f94-4d30-a4eb-b842dd9141c0
376/2021,35/2022,https://www.haestirettur.is/domar/_domur/?id=2d6a64e5-ea6e-418f-a1f3-b76d4c2791e0
630/2020,27/2022,https://www.haestirettur.is/domar/_domur/?id=51b825c2-55c6-4294-a5f0-1438f66e6105
472/2021,54/2022,https://www.haestirettur.is/domar/_domur/?id=aa70af6b-7406-4803-bb36-d534b11a9899
479/2022,53/2022,https://www.haestirettur.is/domar/_domur/?id=96d3dd92-2126-4c2d-94f9-1274f906cd13
167/2021,30/2022,https://www.haestirettur.is/domar/_domur/?id=03eeefaf-9392-4587-8ae0-b8d68997cb04
259/2021,32/2022,https://www.haestirettur.is/domar/_domur/?id=7ef37f85-f521-4f3a-bfb0-9ed9292fe575
708/2020,18/2022,https://www.haestirettur.is/domar/_domur/?id=4d1fbeb6-7437-49e9-a0b1-5f357ea7d624
510/2021,22/2022,https://www.haestirettur.is/domar/_domur/?id=016257de-47ce-4df0-889f-b1090226cac6
628/2020,20/2022,https://www.haestirettur.is/domar/_domur/?id=94cc2452-b0e5-409c-aea2-49057c7d4158
524/2020,2/2022,https://www.haestirettur.is/domar/_domur/?id=b746e145-1b9e-4868-9826-c5680341b40b
444/2021,31/2022,https://www.haestirettur.is/domar/_domur/?id=fb566382-d00e-4fcb-92e8-b80ebcc29184
561/2020,24/2022,https://www.haestirettur.is/domar/_domur/?id=0e48e96b-9d40-46ca-bbaf-5fc864b12689
560/2020,14/2022,https://www.haestirettur.is/domar/_domur/?id=279c63f9-c78a-4e3b-a508-bc9938068672
725/2020,39/2022,https://www.haestirettur.is/domar/_domur/?id=e2fccd1b-2a1b-4726-94e1-1c0d2b9f30aa
201/2022,41/2022,https://www.haestirettur.is/domar/_domur/?id=4f1f3d9b-1993-4bd3-867a-4ce91d806dc8
384/2020,4/2022,https://www.haestirettur.is/domar/_domur/?id=35c6ab01-17c1-44b6-b57f-01402880fa93
468/2020,3/2022,https://www.haestirettur.is/domar/_domur/?id=dfecb52b-9d20-407d-9dd0-afade3df5c3d
374/2020,53/2021,https://www.haestirettur.is/domar/_domur/?id=8c0624fb-9607-4af0-8e02-ddba8cb10fce
452/2020,26/2022,https://www.haestirettur.is/domar/_domur/?id=1a45e7bc-fb87-4d99-96d7-a9a6c0088cdb
497/2021,5/2022,https://www.haestirettur.is/domar/_domur/?id=6892b256-1966-407d-b6da-18cb4e1a17f9
69/2021,25/2022,https://www.haestirettur.is/domar/_domur/?id=6c1dcc23-6e6a-4dcc-bca1-1c4a24ff5b0c
199/2020,55/2021,https://www.haestirettur.is/domar/_domur/?id=dbc31916-eb83-452d-847a-e1f9ca8a616a
226/2021,50/2021,https://www.haestirettur.is/domar/_domur/?id=54410bd5-af1b-4b6d-ad72-ee326755a22e
531/2021,23/2022,https://www.haestirettur.is/domar/_domur/?id=74b17301-7fc4-47bd-9be9-50b00ea6dce9
256/2020,51/2021,https://www.haestirettur.is/domar/_domur/?id=32c5f2d9-03ce-4df1-a9dc-8b74083402c2
170/2020,41/2021,https://www.haestirettur.is/domar/_domur/?id=979d789a-42a3-441a-a9d2-4ef955a55d3c
799/2019,39/2021,https://www.haestirettur.is/domar/_domur/?id=3e8d9a68-f14a-49ab-9c10-2b3b50ed5483
331/2020,33/2021,https://www.haestirettur.is/domar/_domur/?id=9256ad0f-7bbc-424c-b646-e7a398a1a1f1
333/2020,34/2021,https://www.haestirettur.is/domar/_domur/?id=8460e2ba-3c11-4c7c-b14e-dfbd921e3750
332/2020,35/2021,https://www.haestirettur.is/domar/_domur/?id=1cf6d329-eaa6-405b-a7dd-1abb5e9232fd
