supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
12/2025,https://island.is/domar/s-c2ce0efe-717a-4d11-acfd-f5d6a4c900b7,129/2024,https://island.is/domar/g-61519c88-4c2f-4cf8-868b-450551ee4048,dóm,14. október 2025,
2025-140,https://island.is/s/haestirettur/akvardanir/08d67269-77fc-491c-9ac5-3b2464c11eb8,548/2025,https://island.is/domar/g-6a70e313-210e-4205-bbe2-83a27cb6a5a0,ákvörðun,16. október 2025,Samþykkt
2025-141,https://island.is/s/haestirettur/akvardanir/eafd1c83-56ac-497a-8b18-ac3b03e3de9e,200/2025,https://island.is/domar/g-570b36b5-c45d-4eee-9af9-95cfac70247d,ákvörðun,17. október 2025,Samþykkt
8/2025,https://island.is/domar/s-6637ee26-ac5d-4840-a9da-a5191f593fe2,575/2023,https://island.is/domar/g-c98239b7-b393-4ab1-842b-af73151b20a1,dóm,29. október 2025,
56/2025,https://island.is/domar/s-53e291e6-29b6-463c-819d-e9b413ea9bb7,830/2024,https://island.is/domar/g-70a9210b-e3d2-464c-bc57-f37e084dd572,dóm,27. október 2025,
55/2025,https://island.is/domar/s-a6c184d0-e33b-40d0-8961-0690d3e3ad54,188/2025,https://island.is/domar/g-569cf392-56c0-4656-852f-8ca579dca3a5,dóm,30. október 2025,
2025-147,https://island.is/s/haestirettur/akvardanir/e1d6b5f5-7fb9-47c1-bd04-72e1efba25e7,205/2025,https://island.is/domar/g-abf569f8-f59b-4829-9a81-c33ec0479518,ákvörðun,28. október 2025,Samþykkt
2025-148,https://island.is/s/haestirettur/akvardanir/f4e598e5-b055-4394-99ba-665a4ca29d8f,155/2024,https://island.is/domar/g-cca7fccc-dcac-40df-8e6b-107895757a06,ákvörðun,28. október 2025,Hafnað
6/2025,https://island.is/domar/s-fbf7ad47-6d80-4b93-bc38-2e0443f16cda,274/2023,https://island.is/domar/g-216b5d1f-1393-4533-a90c-3d2f043250b2,dóm,5. nóvember 2025,
14/2025,https://island.is/domar/s-dced87e1-bf83-4420-91f8-40bcc527e899,845/2023,https://island.is/domar/g-97294879-21ae-4764-a471-882699f24bbd,dóm,12. nóvember 2025,
