supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2018-86,https://island.is/s/haestirettur/akvardanir/ec5a33c0-f32e-4b2d-a720-b6f74b847d70,14/2018,https://island.is/domar/g-2da6e6c6-52bf-4a6e-9656-ed6de5a4b709,ákvörðun,8. maí 2018,Hafnað
8/2018,https://island.is/domar/s-caef0d6d-d2dc-4ea4-b642-c34f451dd452,189/2018,https://island.is/domar/g-f3fd4a7e-bc43-423c-8aeb-7aba56cb2caa,dóm,5. júní 2018,
9/2018,https://island.is/domar/s-e1a3d0f7-b79b-4958-8cfd-05af4b5c7db4,285/2018,https://island.is/domar/g-4b1d5cea-8bad-4bfe-a3c3-04d734ab52c7,dóm,24. apríl 2018,
2018-136,https://island.is/s/haestirettur/akvardanir/273a76b6-46f9-4275-9e63-f59f9a0a1f1f,76/2018,https://island.is/domar/g-fe2ee2cf-6ea0-4526-ac83-c41ad42678e9,ákvörðun,20. júní 2018,Hafnað
2018-94,https://island.is/s/haestirettur/akvardanir/d581c505-3f99-421d-8389-89200cad87ed,305/2018,https://island.is/domar/g-d8cd49ef-1651-4f6d-923e-dd071155574b,ákvörðun,23. maí 2018,Hafnað
2018-151,https://island.is/s/haestirettur/akvardanir/c4ea88fb-d7fd-4122-8583-6d0727acb194,4/2018,https://island.is/domar/g-db602c4e-a472-47a9-901d-87109730cf08,ákvörðun,21. ágúst 2018,Hafnað
11/2018,https://island.is/domar/s-ad7ed949-614c-41dd-a3ed-23c8938c178a,4/2018,https://island.is/domar/g-db602c4e-a472-47a9-901d-87109730cf08,dóm,20. september 2018,
13/2018,https://island.is/domar/s-2be4f4e9-f88c-4e98-9e3e-c4f83a7374d5,319/2018,https://island.is/domar/g-5f81ccb8-bd61-491c-a60c-2fdf2906dc00,dóm,20. júní 2018,
2018-119,https://island.is/s/haestirettur/akvardanir/540449d9-0c84-4b2d-9df5-63a199a05d0b,318/2018,https://island.is/domar/g-3ab6f610-431e-44f0-a4e1-d546fbf69e7d,ákvörðun,20. júní 2018,Hafnað
15/2018,https://island.is/domar/s-f2aecc31-e274-4278-930d-c23f7e629e46,289/2018,https://island.is/domar/g-70b3034f-7404-43e1-a4e2-42010eef21ca,dóm,13. júní 2018,
2018-123,https://island.is/s/haestirettur/akvardanir/cd57d080-3711-471f-9ca4-f5547e972e74,326/2018,https://island.is/domar/g-7c56d4a0-31fc-49f8-94ba-a63efcd4c9ef,ákvörðun,20. júní 2018,Hafnað
14/2018,https://island.is/domar/s-b578bf12-b56d-4aa5-b070-12ebd9739d01,227/2018,https://island.is/domar/g-730089b3-b8e0-4d57-9410-950e1ac1499f,dóm,30. maí 2018,
2019-335,https://island.is/s/haestirettur/akvardanir/5a9ef5f5-d4de-4246-b5ec-3db857c3c104,421/2018,https://island.is/domar/g-a7eb4b84-92d0-4baa-a477-91df0921df01,ákvörðun,17. desember 2019,Samþykkt
2018-141,https://island.is/s/haestirettur/akvardanir/641c60c4-2966-4397-abe6-2ca7eb7f88d9,128/2018,https://island.is/domar/g-55255747-6991-4bda-8f22-df5cae91b683,ákvörðun,10. júlí 2018,Hafnað
2018-161,https://island.is/s/haestirettur/akvardanir/f173437d-0736-4dbd-abd9-4b9dae187d29,80/2018,https://island.is/domar/g-f3214f0f-d471-4f68-ae3b-c54985f58375,ákvörðun,21. ágúst 2018,Hafnað
2018-179,https://island.is/s/haestirettur/akvardanir/649a08ab-33ba-4894-a759-4effa5ee3433,93/2018,https://island.is/domar/g-f2a1c8fe-6447-4f7b-a1dc-f575e8bde823,ákvörðun,19. september 2018,Hafnað
2018-154,https://island.is/s/haestirettur/akvardanir/edf895b0-62f8-4103-ac4b-11313c1521dd,42/2018,https://island.is/domar/g-608c7380-22db-43de-85c1-ba8e3c054512,ákvörðun,21. ágúst 2018,Hafnað
2018-149,https://island.is/s/haestirettur/akvardanir/37add8f9-c6e5-4f9c-b797-46a010c7f667,438/2018,https://island.is/domar/g-68218598-96d3-4282-b602-c852209731ba,ákvörðun,10. júlí 2018,Hafnað
2018-153,https://island.is/s/haestirettur/akvardanir/26c7dbdb-3e53-40fa-bbc2-9010bbcd3503,95/2018,https://island.is/domar/g-90ed73cd-a8b0-4821-a5e0-ce09652d3219,ákvörðun,21. ágúst 2018,Samþykkt
19/2018,https://island.is/domar/s-838d1c4c-4bcd-4376-927c-5d4582a5d9a9,95/2018,https://island.is/domar/g-90ed73cd-a8b0-4821-a5e0-ce09652d3219,dóm,15. mars 2019,
2018-185,https://island.is/s/haestirettur/akvardanir/82c9e983-bc71-4edd-baff-cdbcb2634ec6,83/2018,https://island.is/domar/g-676ed2f1-2a4c-4b2c-ae97-832b3f38baf5,ákvörðun,19. september 2018,Hafnað
2018-152,https://island.is/s/haestirettur/akvardanir/956b6425-19ee-416a-ae9a-677e8292b321,62/2018,https://island.is/domar/g-11b7686e-963b-408a-a248-1c611b3c6acf,ákvörðun,21. ágúst 2018,Hafnað
2018-165,https://island.is/s/haestirettur/akvardanir/cba2e3cc-3be0-44cf-b193-494a05538e58,47/2018,https://island.is/domar/g-928dece3-aa62-48eb-9947-e08d75cb27da,ákvörðun,19. september 2018,Hafnað
2018-150,https://island.is/s/haestirettur/akvardanir/876fdfbd-440e-409a-9c30-6d37cc5f21b6,424/2018,https://island.is/domar/g-afcb392e-e6a8-44e6-9b77-d5f2ebb62a9a,ákvörðun,21. ágúst 2018,Samþykkt
18/2018,https://island.is/domar/s-860df09c-e287-49cd-a018-f40b2fe8108e,424/2018,https://island.is/domar/g-afcb392e-e6a8-44e6-9b77-d5f2ebb62a9a,dóm,16. janúar 2019,
7/2018,https://island.is/domar/s-ba641094-64ae-49be-9f38-f1c6fb9eaddb,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,dóm,7. júní 2018,
2018-181,https://island.is/s/haestirettur/akvardanir/d4de52f1-f2ed-4e5e-bcec-b3e76b430b80,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,ákvörðun,4. október 2018,Samþykkt
21/2018,https://island.is/domar/s-2a9f3b81-7c37-4022-b786-e4a67db47667,129/2018,https://island.is/domar/g-f922b00a-d9d3-4f8f-8b04-18e5cbcfb381,dóm,23. janúar 2019,
2018-182,https://island.is/s/haestirettur/akvardanir/7ae64a5f-9a23-44f2-a9b8-09056deb7c04,470/2018,https://island.is/domar/g-5f48f47b-ac79-4ad6-9d74-ab501cf0cc23,ákvörðun,4. október 2018,Hafnað
20/2018,https://island.is/domar/s-8a437672-fe7d-4c61-bc7d-fef00b8f6d35,653/2018,https://island.is/domar/g-04efd96f-b7fa-4fef-bada-d6a60ac69174,dóm,2. október 2018,
2018-215,https://island.is/s/haestirettur/akvardanir/d35f5824-3f72-4111-9c78-c598d053f9bc,151/2018,https://island.is/domar/g-adc7c108-936f-4b3f-ada1-6ce2b6e951b2,ákvörðun,14. nóvember 2018,Hafnað
2018-211,https://island.is/s/haestirettur/akvardanir/32e4399c-13da-42d5-ab6f-e4345e054ee2,69/2018,https://island.is/domar/g-847bb9fd-fe97-4a07-9b67-bf050ece2292,ákvörðun,13. nóvember 2018,Hafnað
2018-189,https://island.is/s/haestirettur/akvardanir/7b751af4-1530-41e2-bc43-7560f5c1b4f5,514/2018,https://island.is/domar/g-680b6b93-42eb-4193-b6b4-b571c19541ca,ákvörðun,31. október 2018,Hafnað
2018-197,https://island.is/s/haestirettur/akvardanir/0d706d52-8890-4486-bb25-ef65e01d09d1,442/2018,https://island.is/domar/g-761b6766-1283-48ca-8010-3f92375fd0e5,ákvörðun,8. nóvember 2018,Samþykkt
26/2018,https://island.is/domar/s-95b9db44-6e83-4514-92da-b4fd177f1a2b,442/2018,https://island.is/domar/g-761b6766-1283-48ca-8010-3f92375fd0e5,dóm,27. febrúar 2019,
2018-203,https://island.is/s/haestirettur/akvardanir/7a6c3b1d-6256-4916-987a-55ebc4577b2e,112/2018,https://island.is/domar/g-ebfa7999-ad81-4704-b66c-44beb1152711,ákvörðun,8. nóvember 2018,Samþykkt
25/2018,https://island.is/domar/s-e4180c4e-2484-434a-8a2d-8030ed7ca295,112/2018,https://island.is/domar/g-ebfa7999-ad81-4704-b66c-44beb1152711,dóm,30. janúar 2019,
2018-207,https://island.is/s/haestirettur/akvardanir/472fe288-2ee2-460e-bc7e-3ba663a39587,220/2018,https://island.is/domar/g-e2a3a1b8-2771-43d3-b9d8-abeaaace6bf0,ákvörðun,14. nóvember 2018,Samþykkt
27/2018,https://island.is/domar/s-b240b658-5d03-4896-94e9-115b9d9200d3,220/2018,https://island.is/domar/g-e2a3a1b8-2771-43d3-b9d8-abeaaace6bf0,dóm,6. mars 2019,
22/2018,https://island.is/domar/s-7752e3e3-858e-49ac-836a-6ecbde5f5263,153/2018,https://island.is/domar/g-b5ff9685-e301-418f-9579-7ac81fd34ef5,dóm,30. október 2018,
2018-198,https://island.is/s/haestirettur/akvardanir/f512dc18-bd9e-4840-b027-9c3737589f61,573/2018,https://island.is/domar/g-82e3727e-996c-4a78-9cb6-d9cd6a2cef54,ákvörðun,13. nóvember 2018,Hafnað
2018-200,https://island.is/s/haestirettur/akvardanir/afdc9082-cf18-4d5e-99e7-6655d6d648b3,505/2018,https://island.is/domar/g-8a8ce58e-1dc3-4818-ae24-a85541799ff9,ákvörðun,13. nóvember 2018,Hafnað
2018-260,https://island.is/s/haestirettur/akvardanir/90ad3948-b4f7-45a3-ba6a-facc0268bf35,92/2018,https://island.is/domar/g-fc79ea50-a0dc-4644-81e2-e1c955629aa9,ákvörðun,20. desember 2018,Hafnað
2018-210,https://island.is/s/haestirettur/akvardanir/f773c17f-dc18-4f40-9aa0-a7d9cb64c519,188/2018,https://island.is/domar/g-db8e3396-e445-4a4a-a98a-b31b65177c28,ákvörðun,23. nóvember 2018,Samþykkt
29/2018,https://island.is/domar/s-7049e82a-f012-48f8-a44f-7e88543932e2,188/2018,https://island.is/domar/g-db8e3396-e445-4a4a-a98a-b31b65177c28,dóm,22. mars 2019,
2018-208,https://island.is/s/haestirettur/akvardanir/3472e40e-0759-4617-93d9-fe7009ea52d3,604/2018,https://island.is/domar/g-fe69d084-789c-464b-94ae-504b9ac3cab2,ákvörðun,22. nóvember 2018,Hafnað
6/2018,https://island.is/domar/s-f5fd7299-fd01-4065-863d-c27c4caa3376,25/2018,https://island.is/domar/g-980662d6-ff2b-483a-aaca-87701ff0d077,dóm,30. maí 2018,
2018-234,https://island.is/s/haestirettur/akvardanir/1d4aac8b-b642-4b82-8293-6aed1e2732d8,210/2018,https://island.is/domar/g-504ab454-a55f-4686-95ec-e478e7c384ea,ákvörðun,22. nóvember 2018,Hafnað
2018-219,https://island.is/s/haestirettur/akvardanir/cd14ec55-3dcf-4943-84aa-c99fb91ad105,185/2018,https://island.is/domar/g-6b54b7ef-edff-4109-b8f2-62e02876a5f1,ákvörðun,6. desember 2018,Samþykkt
31/2018,https://island.is/domar/s-7e4a7329-245b-4856-b406-62bf78015914,185/2018,https://island.is/domar/g-6b54b7ef-edff-4109-b8f2-62e02876a5f1,dóm,27. mars 2019,
2018-214,https://island.is/s/haestirettur/akvardanir/3dcb7cd0-5a79-4310-9d6b-410f74f34ea3,105/2018,https://island.is/domar/g-5bddc405-973e-4845-a42a-c63e1588cc2b,ákvörðun,22. nóvember 2018,Hafnað
2018-216,https://island.is/s/haestirettur/akvardanir/6b3f746c-3f7b-4b56-bfbe-6106f009c31c,364/2018,https://island.is/domar/g-0f6ba8c2-1cbe-4561-9b41-3d765ef87c54,ákvörðun,26. nóvember 2018,Hafnað
2018-236,https://island.is/s/haestirettur/akvardanir/6ab98378-6b97-4c24-9f77-60347bf11498,300/2018,https://island.is/domar/g-a7392648-d9f2-4ba3-a08b-109ceaee3bed,ákvörðun,5. desember 2018,Hafnað
2018-240,https://island.is/s/haestirettur/akvardanir/fe1c98bd-6bee-4c81-96ff-2ee2f3849712,32/2018,https://island.is/domar/g-fdba141b-10c1-4219-bfbd-420b383296cd,ákvörðun,13. desember 2018,Hafnað
2018-243,https://island.is/s/haestirettur/akvardanir/2d66d90f-9cff-4c14-a7a2-e895758d1487,231/2018,https://island.is/domar/g-2cca9eb3-12ec-4fac-a56f-a165f6fa2173,ákvörðun,13. desember 2018,Hafnað
2018-248,https://island.is/s/haestirettur/akvardanir/82be1a6d-5936-4b5d-9cd2-aa435dcf1645,174/2018,https://island.is/domar/g-d7ce14f8-f1e9-4af9-a099-4644d4272b35,ákvörðun,20. desember 2018,Samþykkt
33/2018,https://island.is/domar/s-02ebbfb4-1bac-4f25-ab65-a7e511b41ca7,174/2018,https://island.is/domar/g-d7ce14f8-f1e9-4af9-a099-4644d4272b35,dóm,21. maí 2019,
2018-247,https://island.is/s/haestirettur/akvardanir/e7f2f5cc-79c1-4891-a7aa-091bf46cd12d,127/2018,https://island.is/domar/g-5d5f72d5-6c6f-4138-b0b9-56af46ab1f11,ákvörðun,13. desember 2018,Hafnað
2018-249,https://island.is/s/haestirettur/akvardanir/0f6548da-1a30-41cc-9b3b-a7bd14e94b43,114/2018,https://island.is/domar/g-14338695-4f66-41e6-8ec2-72a347202db0,ákvörðun,13. desember 2018,Hafnað
28/2018,https://island.is/domar/s-26ad17b8-979a-44ba-9c5b-6bb49f30ebc6,774/2018,https://island.is/domar/g-ad73e285-7778-47b1-91e7-463d72d3819f,dóm,5. desember 2018,
2018-246,https://island.is/s/haestirettur/akvardanir/5f78316a-cbaf-4bf4-8d4c-10fdb56bdc75,729/2018,https://island.is/domar/g-b72c1a15-a565-4e48-9f91-b6008dcc4def,ákvörðun,13. desember 2018,Hafnað
2019-70,https://island.is/s/haestirettur/akvardanir/d87b4185-c4f6-440e-a206-e6cbd65ed157,66/2018,https://island.is/domar/g-efbe9011-37f5-4d3b-853f-ba910c9f604d,ákvörðun,21. febrúar 2019,Hafnað
2019-69,https://island.is/s/haestirettur/akvardanir/5f8ec143-fb3b-414c-ae7b-98f644e4540d,66/2018,https://island.is/domar/g-efbe9011-37f5-4d3b-853f-ba910c9f604d,ákvörðun,21. febrúar 2019,Hafnað
2018-257,https://island.is/s/haestirettur/akvardanir/ee9cd861-f960-441e-975e-5b4e18c71291,400/2018,https://island.is/domar/g-29502350-238c-4d5d-8295-6c7220e706f8,ákvörðun,21. desember 2018,Samþykkt
34/2018,https://island.is/domar/s-40fbd630-9bf6-4039-9632-c71541767d09,400/2018,https://island.is/domar/g-29502350-238c-4d5d-8295-6c7220e706f8,dóm,14. maí 2019,
2018-264,https://island.is/s/haestirettur/akvardanir/8e0672a8-05d2-437a-871a-09cf4732a45b,399/2018,https://island.is/domar/g-4f17dd26-7906-4d58-b251-e85e110c6023,ákvörðun,21. desember 2018,Samþykkt
2018-263,https://island.is/s/haestirettur/akvardanir/4f333849-7e06-4e5e-aa33-bdbac75ecbff,398/2018,https://island.is/domar/g-30f15d1d-fb9b-4c03-82e3-eabd6190a4bb,ákvörðun,21. desember 2018,Samþykkt
2018-262,https://island.is/s/haestirettur/akvardanir/a776fef3-5c4c-4633-9a66-8f73b9e82c19,397/2018,https://island.is/domar/g-b2843e50-f89f-416c-8b6e-1d40f4178fd1,ákvörðun,21. desember 2018,Samþykkt
2018-259,https://island.is/s/haestirettur/akvardanir/71a8f61f-bdc4-4663-b826-ea0e89d21af5,396/2018,https://island.is/domar/g-80c671e3-14e2-4030-952e-c3bc8998c63b,ákvörðun,21. desember 2018,Samþykkt
30/2018,https://island.is/domar/s-2878e2f5-0e48-46c3-8729-25e387d4d87b,275/2018,https://island.is/domar/g-4eaedec2-feb1-42c6-8fa5-12d268997ccf,dóm,20. desember 2018,
2018-265,https://island.is/s/haestirettur/akvardanir/0362ef39-7a2b-4fe3-8a0c-68eeffe3a33d,228/2018,https://island.is/domar/g-b863a1a3-ad6b-48f1-b9d2-a17c7e8dc12f,ákvörðun,4. janúar 2019,Hafnað
2018-255,https://island.is/s/haestirettur/akvardanir/1d91a8a4-18a9-4a1c-8339-1de9c856533e,205/2018,https://island.is/domar/g-8ffbcdec-a10a-4dd8-8513-c402375b31c4,ákvörðun,9. janúar 2019,Hafnað
2019-26,https://island.is/s/haestirettur/akvardanir/78b235b5-48b7-4c96-9c61-a23f8223b23c,78/2018,https://island.is/domar/g-047440c2-7274-437c-adf3-bcb4f3fb746e,ákvörðun,17. janúar 2019,Hafnað
2019-79,https://island.is/s/haestirettur/akvardanir/499966b7-afa1-461f-8c16-b4237ee64e73,51/2018,https://island.is/domar/g-4aff1c4d-76c8-4540-a642-cc25a3f76dd5,ákvörðun,28. febrúar 2019,Hafnað
2018-266,https://island.is/s/haestirettur/akvardanir/f9c16b11-1f7d-485f-9377-4f0cc5a56f45,276/2018,https://island.is/domar/g-f03f85bb-2e82-43c1-a869-cdd346abd0cb,ákvörðun,9. janúar 2019,Hafnað
2018-256,https://island.is/s/haestirettur/akvardanir/e8deb549-f5fc-4dc3-a628-db49a44e56f4,829/2018,https://island.is/domar/g-f1ddde79-7ad1-48ce-9004-d2f7b4f2630e,ákvörðun,4. janúar 2019,Hafnað
2019-51,https://island.is/s/haestirettur/akvardanir/262e8cc7-dc8e-409e-9299-82d2ab1423c8,57/2018,https://island.is/domar/g-706c00cf-008b-4087-980f-d381254f954e,ákvörðun,4. febrúar 2019,Hafnað
2018-268,https://island.is/s/haestirettur/akvardanir/249eadff-35e6-416d-927e-720093abc699,377/2018,https://island.is/domar/g-d890f58d-f782-4981-be88-bba3ae7c26d6,ákvörðun,29. janúar 2019,Samþykkt
7/2019,https://island.is/domar/s-7f4b8584-80d8-4fd8-a796-d82de9519d47,377/2018,https://island.is/domar/g-d890f58d-f782-4981-be88-bba3ae7c26d6,dóm,31. maí 2019,
32/2018,https://island.is/domar/s-4c8a490a-8540-4436-bd8e-90b413a36437,775/2018,https://island.is/domar/g-5558b842-d46a-4afb-a346-e3e25e9102d3,dóm,8. janúar 2019,
2018-270,https://island.is/s/haestirettur/akvardanir/1b3430c2-4dc0-4b93-82ae-e721af7395c2,747/2018,https://island.is/domar/g-9460ffc1-30ad-4acd-9e21-ca2a4c9da183,ákvörðun,15. janúar 2019,Hafnað
2018-271,https://island.is/s/haestirettur/akvardanir/b273b47c-ae72-415d-9288-077a33bf0509,746/2018,https://island.is/domar/g-5fd1400d-80d4-4bf7-a3ee-763d95bed6ad,ákvörðun,15. janúar 2019,Hafnað
2019-35,https://island.is/s/haestirettur/akvardanir/f7b206bc-9f7e-4470-8f60-7922fbe937ef,404/2018,https://island.is/domar/g-16e152d6-7f37-4154-9c92-791d3baf0823,ákvörðun,4. febrúar 2019,Hafnað
2019-7,https://island.is/s/haestirettur/akvardanir/4175b14d-0141-42d8-876d-8c5ce3d420f5,342/2018,https://island.is/domar/g-ac1e117d-3dee-4932-be80-32d096275256,ákvörðun,29. janúar 2019,Samþykkt
2019-6,https://island.is/s/haestirettur/akvardanir/181f1daf-ae59-4154-923b-dbb07e2c17ac,341/2018,https://island.is/domar/g-fb686131-4f78-431b-9c4b-1a8e349d8027,ákvörðun,29. janúar 2019,Samþykkt
4/2019,https://island.is/domar/s-3c7c141b-2e6c-42c7-a41a-fae3eed38c39,341/2018,https://island.is/domar/g-fb686131-4f78-431b-9c4b-1a8e349d8027,dóm,28. maí 2019,
2019-5,https://island.is/s/haestirettur/akvardanir/d76f6292-4176-48da-aaf9-fd2189ec8932,340/2018,https://island.is/domar/g-43e797ce-8aa0-4c97-8150-d47717495b64,ákvörðun,29. janúar 2019,Samþykkt
3/2019,https://island.is/domar/s-60c94c57-633d-499a-b3d8-f335f22f36e8,340/2018,https://island.is/domar/g-43e797ce-8aa0-4c97-8150-d47717495b64,dóm,28. maí 2019,
2019-4,https://island.is/s/haestirettur/akvardanir/a305aafa-b535-4131-8778-7dd714683d17,154/2018,https://island.is/domar/g-9b444534-1168-49f3-ad8a-62a8846e3862,ákvörðun,22. janúar 2019,Hafnað
2018-267,https://island.is/s/haestirettur/akvardanir/a4ac452c-2148-480e-adc3-e03545129f4a,831/2018,https://island.is/domar/g-7fc11928-9cd4-4fd1-85fc-257760358c37,ákvörðun,9. janúar 2019,Hafnað
2019-19,https://island.is/s/haestirettur/akvardanir/cd4fbe8d-2062-4236-91ac-e68142dc1ab8,635/2018,https://island.is/domar/g-a329c354-df1e-4b80-b753-2183502bb89f,ákvörðun,28. febrúar 2019,Hafnað
2019-78,https://island.is/s/haestirettur/akvardanir/1919a3a8-34a2-480b-98bf-2a114f9716c0,43/2018,https://island.is/domar/g-e1853878-bdb1-420c-a2bd-38a6be06cc9e,ákvörðun,28. febrúar 2019,Hafnað
2019-16,https://island.is/s/haestirettur/akvardanir/3b9eef1e-4537-40a9-909f-6858b125d919,408/2018,https://island.is/domar/g-47da4f9f-30d8-4ea1-8ed4-163bc8ab79b6,ákvörðun,29. janúar 2019,Samþykkt
6/2019,https://island.is/domar/s-e4f76702-8f79-4b38-8a0d-44dc911004e9,408/2018,https://island.is/domar/g-47da4f9f-30d8-4ea1-8ed4-163bc8ab79b6,dóm,4. júní 2019,
2019-17,https://island.is/s/haestirettur/akvardanir/01c4d237-9ca5-4ce8-90dc-36cb0ccc92e1,407/2018,https://island.is/domar/g-c1594477-460e-4b80-adbe-6f9ff59c4db4,ákvörðun,29. janúar 2019,Samþykkt
5/2019,https://island.is/domar/s-bbe376db-a2fc-421f-b896-f430dd5dcbf0,407/2018,https://island.is/domar/g-c1594477-460e-4b80-adbe-6f9ff59c4db4,dóm,4. júní 2019,
2019-23,https://island.is/s/haestirettur/akvardanir/bf4ef4e6-06a0-4930-83a3-f299dfbc927d,349/2018,https://island.is/domar/g-dd6c799b-e2f1-48f4-b631-fa973dd88899,ákvörðun,29. janúar 2019,Samþykkt
8/2019,https://island.is/domar/s-9f95316e-f4fc-4c99-8509-fab8a4cefdc7,349/2018,https://island.is/domar/g-dd6c799b-e2f1-48f4-b631-fa973dd88899,dóm,12. júní 2019,
2019-18,https://island.is/s/haestirettur/akvardanir/9d19de2f-dcf4-4efa-ab09-735e815fb7a9,281/2018,https://island.is/domar/g-43b28891-75b9-414c-bed0-8cf1eb3cdf54,ákvörðun,31. janúar 2019,Samþykkt
10/2019,https://island.is/domar/s-62364a8e-01d4-452a-aeb2-95b8d56a6664,281/2018,https://island.is/domar/g-43b28891-75b9-414c-bed0-8cf1eb3cdf54,dóm,26. júní 2019,
2019-15,https://island.is/s/haestirettur/akvardanir/617a677b-3801-42cd-91e0-a1552671a784,265/2018,https://island.is/domar/g-70ef4e0e-69c0-446c-9f6c-021c38f7dee5,ákvörðun,29. janúar 2019,Hafnað
2019-12,https://island.is/s/haestirettur/akvardanir/e74cc575-0b7d-4628-8bdb-fd201cbed530,155/2018,https://island.is/domar/g-b775a390-8bb7-4830-a0b0-bb606624c94f,ákvörðun,22. janúar 2019,Hafnað
2019-45,https://island.is/s/haestirettur/akvardanir/2b2bdbb9-709d-4aa4-9500-634db7caeef5,558/2018,https://island.is/domar/g-39d18ee7-63f5-49a3-a26a-0e22cd51a7da,ákvörðun,29. janúar 2019,Hafnað
2019-30,https://island.is/s/haestirettur/akvardanir/eeb58c5c-9d5d-403b-96ab-df4d0ab8a895,507/2018,https://island.is/domar/g-df09e769-7896-46c6-b60f-3cfb06e992da,ákvörðun,29. janúar 2019,Hafnað
2019-47,https://island.is/s/haestirettur/akvardanir/86aa79be-82b2-429a-8c46-32c567b39a38,50/2018,https://island.is/domar/g-02b46054-24c8-45df-ba95-f336cb67b115,ákvörðun,7. febrúar 2019,Hafnað
2019-24,https://island.is/s/haestirettur/akvardanir/9edb73fd-d783-46c1-8a77-7211746358f9,429/2018,https://island.is/domar/g-9c97a0f6-6022-4307-bcc4-95e6b9f7d6ca,ákvörðun,31. janúar 2019,Samþykkt
9/2019,https://island.is/domar/s-b0b0be23-ad26-4fe8-b431-e1df06bbf529,429/2018,https://island.is/domar/g-9c97a0f6-6022-4307-bcc4-95e6b9f7d6ca,dóm,5. júní 2019,
2019-28,https://island.is/s/haestirettur/akvardanir/2fad49a7-dab6-4188-ae6d-17728c43b159,344/2018,https://island.is/domar/g-3e51ee8b-db3c-4da3-b565-fd02a887a55b,ákvörðun,4. febrúar 2019,Hafnað
2019-36,https://island.is/s/haestirettur/akvardanir/e6dd7fb3-e78d-406b-a7df-8b1612a4dffe,271/2018,https://island.is/domar/g-43373ca9-2cf0-489e-9084-8a06660a16c7,ákvörðun,5. febrúar 2019,Hafnað
2019-20,https://island.is/s/haestirettur/akvardanir/b79a20d4-05c9-4cf9-850e-56fbd2e2bccb,243/2018,https://island.is/domar/g-9d77abfe-5362-45b3-8e5e-7023c95a1478,ákvörðun,29. janúar 2019,Hafnað
1/2019,https://island.is/domar/s-873737c5-fa5d-4a05-ad60-4398594b38db,1/2019,https://island.is/domar/g-accc02a0-7c7f-4fe2-8216-b5ccee28e26f,dóm,11. janúar 2019,
2019-63,https://island.is/s/haestirettur/akvardanir/eba20cd0-51d1-4ff9-a4ee-673b6476bc3d,539/2018,https://island.is/domar/g-e1b28564-68c8-4d4f-ad5c-8bee376251a5,ákvörðun,28. febrúar 2019,Hafnað
2019-128,https://island.is/s/haestirettur/akvardanir/fcac49ac-a3af-4ed2-8912-9fcdd13de593,204/2018,https://island.is/domar/g-a8c3e82d-cb23-4641-b3fa-74a1eebba6ba,ákvörðun,11. apríl 2019,Hafnað
2019-81,https://island.is/s/haestirettur/akvardanir/a5394d7a-4fbd-45e3-b7b2-fc0305dd7c76,503/2018,https://island.is/domar/g-a263bb0e-5eca-4e31-84c3-dc851c7f3530,ákvörðun,14. mars 2019,Hafnað
23/2018,https://island.is/domar/s-0a3bf36d-86ba-4bc0-b7c8-a2e26533e727,306/2018,https://island.is/domar/g-3db855cc-2387-4a9d-9659-118eb164d8ef,dóm,5. nóvember 2018,
2019-72,https://island.is/s/haestirettur/akvardanir/1c018911-b7cb-4c58-99b6-295d189a0b51,306/2018,https://island.is/domar/g-3db855cc-2387-4a9d-9659-118eb164d8ef,ákvörðun,27. febrúar 2019,Hafnað
2019-89,https://island.is/s/haestirettur/akvardanir/014a9eb0-3fee-4249-a327-10b303c26dd6,554/2018,https://island.is/domar/g-8d4df2d5-6c0b-4054-959d-1e1846271be7,ákvörðun,18. mars 2019,Hafnað
2019-71,https://island.is/s/haestirettur/akvardanir/a948d2ca-afb2-497c-b7ef-30b669e5045b,482/2018,https://island.is/domar/g-a8f95ce2-8634-45ba-8074-d26a850ee496,ákvörðun,28. febrúar 2019,Samþykkt
11/2019,https://island.is/domar/s-b6245df7-27db-4a54-8499-f7d542061986,482/2018,https://island.is/domar/g-a8f95ce2-8634-45ba-8074-d26a850ee496,dóm,26. júní 2019,
2019-104,https://island.is/s/haestirettur/akvardanir/70cd3d2e-95d6-48db-bcc6-c1757e4bce44,363/2018,https://island.is/domar/g-78a7c30f-56cd-4d42-aab7-0953d4f149e4,ákvörðun,21. mars 2019,Hafnað
2019-129,https://island.is/s/haestirettur/akvardanir/8f6f66ad-810d-46ec-8abd-b1688d965394,18/2018,https://island.is/domar/g-b61ee0ed-97cf-47fa-bc34-f179f8c10e0e,ákvörðun,11. apríl 2019,Hafnað
2019-117,https://island.is/s/haestirettur/akvardanir/8186b414-d799-4316-927a-fe40a93647fb,150/2018,https://island.is/domar/g-fd01f23a-8566-4c32-b45f-5c9e7cafa558,ákvörðun,29. apríl 2019,Hafnað
2019-77,https://island.is/s/haestirettur/akvardanir/0688d3a7-0c55-4e02-befb-1c94a11f9f0c,69/2019,https://island.is/domar/g-5df42872-1923-4603-903f-de5fb75d91c7,ákvörðun,27. febrúar 2019,Hafnað
