appeal,supreme,url
333/2023,38/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=09307eab-7587-4ed5-8e78-20deae10b2d1
99/2022,32/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=1fbf427e-1a04-4a61-8a14-a2538db66307
93/2025,42/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=700ae701-ea50-4fbb-957c-cb2464c1df7d
549/2023,33/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=430375e1-8b10-478e-bc9d-57a34c1a7287
786/2023,31/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b593a01a-5035-4a20-9c14-0e2297d4a7a8
786/2023,28/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=90352679-5f27-4fd4-83da-163fa2036655
988/2024,25/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=34ad2b12-029c-4a77-aa0d-b26e2aceb8f6
785/2023,30/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=4fdb1d15-eb25-4272-8aab-bc704215fd0f
639/2024,47/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=18e305fd-a9aa-4a7f-b32e-d67768fd676b
785/2023,27/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=6d38858c-d6ee-47af-a55c-e2c6d66b42fe
157/2024,81/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=5eaa7d4f-28c1-406c-8252-b228ee6f7175
37/2025,87/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=fd31db07-8a4b-4eb4-bff5-d863c83afc25
513/2023,84/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f4e138a8-3e84-4d86-a0e3-eb97c79dbb27
197/2024,78/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=409d998d-5437-40e3-a7a7-f6b1905d638f
40/2024,66/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=170d5209-df93-4f39-90b1-7bb31dbe6ff4
116/2025,89/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=6243f92a-fdc6-4ed7-b287-033471dcbef5
108/2025,85/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=bee14fc0-170b-4070-93d5-0ec86b737c6f
334/2024,60/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=7f1f4451-149f-491b-b3de-13cfc7596f92
59/2025,90/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=5398253d-9dc2-4921-a575-1a66c3d43589
18/2024,65/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=2e6896ca-39e4-485e-a832-dd61ab4c51b6
143/2024,62/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=6a7677eb-4eac-4fb9-ba1c-df35050d4b71
5/2025,51/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3952a6cc-9b53-4529-ba78-094e92037f55
201/2024,64/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ba757fc3-8d80-4349-8d39-4b39c9f03383
848/2023,46/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=66784327-a041-4c69-a8a8-6a89b40fa195
972/2024,54/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=83c76956-b10e-48bc-b62c-75b219836b9e
402/2023,48/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=975baf97-410c-4ca3-96dd-83987c54b82a
947/2024,57/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3a48a60c-ee42-4adc-b1a2-85d2ec4c71f2
535/2023,49/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=87b24bee-26f7-4946-bba3-bef1988cfc01
973/2024,55/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9aabb7fe-27dc-49c7-a3c9-bf0f070aba31
351/2023,3/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=7b49d79c-a8e2-486e-a1e3-a65f8d0a37dc
274/2023,167/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ce443e6a-4914-4d5f-9bde-cd9f06eb6776
487/2023,149/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f2e7fe2c-6d9c-4cc9-bfb1-26170480d1c1
527/2023,147/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d6437bd0-bffb-4989-8388-554dd388589c
456/2023,165/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d9619bc3-d7b0-4179-ac1c-75cb70a32f00
257/2023,146/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9c986ad8-295a-4c62-944e-8e965c81e78f
486/2023,155/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b35d7bda-5404-4692-a836-c28de4ce482b
358/2023,144/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=108f28f6-3b3a-41ed-8376-f2e6b38b1d35
523/2023,157/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=0afb2276-9f95-49c1-9824-632b18254236
232/2024,148/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3acf710a-75c4-44de-bda9-fd3efec7040e
439/2023,143/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9553e06c-c387-45ff-93e4-21dfdfd06581
789/2024,145/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=cef8a9c6-f1ef-44f9-a16c-a69ebeb5b73d
899/2023,4/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=bc7e04f2-4aa1-407f-9444-bee52110dc12
802/2024,179/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=bb33bc5a-e975-4cb1-bc0b-dcdd985075ce
879/2024,166/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9dc91bbc-9531-4d2a-ae06-152f447a690b
559/2023,139/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=5d542012-b522-4482-b90e-5d89b34740df
516/2022,136/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=d51f8711-2185-4ae3-8b69-3e71f5a59359
107/2024,150/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=318eeaff-f793-409a-bc7d-8e4af8662451
190/2024,36/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=1333ba1d-1ecf-48f4-94b7-b52733455c35
12/2024,29/2025,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=443a035a-8179-4cf6-9ae9-5fbda177bf39
566/2022,183/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=04926673-ccf5-4694-8c0f-6feb3c2ac227
